ACT,SCENE,ACTUAL,FOUND
0 | PROLOGUE,,800,484
1 | ACT I, SCENE I,1300,833
2 | ACT I, SCENE II,1100,711
3 | ACT I, SCENE III,1000,629
4 | ACT I, SCENE IV,558,364
5 | ACT I, SCENE V,1100,773
6 | ACT I, SCENE VI,603,424
7 | ACT I, SCENE VII,545,359
8 | ACT I, SCENE VIII,422,284
9 | ACT I, SCENE IX,245,155
10 | ACT I, SCENE X,456,265
11 | ACT I, SCENE XI,723,432
12 | ACT I, SCENE XII,561,319
13 | ACT I, SCENE XIII,365,237
14 | ACT I, SCENE XIV,487,312
15 | ACT I, SCENE XV,772,436
16 | ACT I, SCENE XVI,474,252
17 | ACT I, SCENE XVII,337,210
18 | ACT I, SCENE XVIII,291,141
19 | ACT I, SCENE XIX,455,229
20 | ACT I, SCENE XX,224,129
21 | ACT I, SCENE XXI,321,149
22 | ACT I, SCENE XXII,187,91
23 | ACT I, SCENE XXIII,181,95
24 | ACT I, SCENE XXIV,292,140
25 | ACT I, SCENE XXV,387,215
26 | ACT I, SCENE XXVI,540,152
27 | ACT I, SCENE XXVII,457,239
28 | ACT I, SCENE XXVIII,228,130
ACT II | QUATERVOIS,,87,27
29 | ACT II, SCENE I,392,184
30 | ACT II, SCENE II,384,205
31 | ACT II, SCENE III,484,257
32 | ACT II, SCENE IV,479,286
33 | ACT II, SCENE V,181,103
34 | ACT II, SCENE VI,225,135
35 | ACT II, SCENE VII,302,174
36 | ACT II, SCENE VIII,299,177
37 | ACT II, SCENE IX,178,113
38 | ACT II, SCENE X,117,82
39 | ACT II, SCENE XI,176,141
40 | ACT II, SCENE XII,121,89
41 | ACT II, SCENE XIII,134,85
42 | ACT II, SCENE XIV,129,70
43 | ACT II, SCENE XV,235,159
44 | ACT II, SCENE XVI,213,131
45 | ACT II, SCENE XVII,285,165
46 | ACT II, SCENE XVIII,204,162
47 | ACT II, SCENE XIX,268,137
48 | ACT II, SCENE XX,209,125
49 | ACT II, SCENE XXI,164,99
50 | ACT II, SCENE XXII,348,207
51 | ACT II, SCENE XXIII,209,135
52 | ACT II, SCENE XXIV,205,115
ACT III | SAUDADE,,92,36
53 | ACT III, SCENE I,255,168
54 | ACT III, SCENE II,102,83
55 | ACT III, SCENE III,599,404
56 | ACT III, SCENE IV,261,137
57 | ACT III, SCENE V,109,82
58 | ACT III, SCENE VI,72,53
59 | ACT III, SCENE VII,298,204
60 | ACT III, SCENE VIII,166,136
61 | ACT III, SCENE IX,231,144
ACT IV | VIRAGO,,230,113
62 | ACT IV, SCENE I,263,164
63 | ACT IV, SCENE II,286,210
64 | ACT IV, SCENE III,333,241
65 | ACT IV, SCENE IV,277,169
66 | ACT IV, SCENE V,353,220
67 | ACT IV, SCENE VI,349,224
68 | ACT IV, SCENE VII,273,168
69 | ACT IV, SCENE VIII,301,197
70 | ACT IV, SCENE IX,331,258
71 | ACT IV, SCENE X,470,219
72 | ACT IV, SCENE XI,458,281
73 | ACT IV, SCENE XII,498,302
ACT V | GIBEL,,59,43
74 | ACT V, SCENE I,450,310
75 | ACT V, SCENE II,351,238
76 | ACT V, SCENE III,635,439
77 | ACT V, SCENE IV,424,305
78 | ACT V, SCENE V,590,415
79 | ACT V, SCENE VI,399,231
80 | ACT V, SCENE VII,364,189
81 | ACT V, SCENE VIII,497,298
82 | ACT V, SCENE IX,351,221
83 | ACT V, SCENE X,386,245
ACT VI | PERIPETEIA,,33,21
84 | ACT VI, SCENE I,187,145
85 | ACT VI, SCENE II,162,108
86 | ACT VI, SCENE III,202,118
87 | ACT VI, SCENE IV,282,177
88 | ACT VI, SCENE V,479,281
89 | ACT VI, SCENE VI,304,168
ACT VII | SÚTON,,100,65
90 | ACT VII, SCENE I,350,208
91 | ACT VII, SCENE II,289,102
92 | ACT VII, SCENE III,245,154
93 | ACT VII, SCENE IV,268,170
94 | ACT VII, SCENE V,586,322
95 | ACT VII, SCENE VI,421,236
96 | ACT VII, SCENE VII,309,158
97 | ACT VII, SCENE VIII,279,153
98 | ACT VII, SCENE IX,278,160
99 | ACT VII, SCENE X,133,67
100 | ACT VII, SCENE XI,303,184
101 | ACT VII, SCENE XII,429,288
102 | ACT VII, SCENE XIII,230,132
103 | ACT VII, SCENE XIV,378,248
104 | ACT VII, SCENE XV,508,313
EPILOGUE,,268,176
FAMILY INDEX,,52,28
CAST LIST,,369,168
FAN ART & AESTHETICS,,54,33
FUN FACTS,,287,164
TIME FOR A QUIZ!,,183,93
ONE LAST REQUEST,,4,4
FINAL NOTE,,203,147
